Listing_Month,Sale_Price,Built_Renovated,Grade,Condition,Living_Area,Total_Basement,Finished_Basement,Bedrooms,Bathrooms,Zoning,Lot_size ,Per_Sqft_Price,Sale_Rank
April,785000,2011,Better,Average,3010,0,0,3,2.75,R6,1842,260.7973422,Quick_Sale
March,550000,2001,Good,Average,2170,0,0,3,2.5,R8,3000,253.4562212,Quick_Sale
Febuary,451500,1993,Good,Average,1540,0,0,3,2.25,R12P,3371,293.1818182,Quick_Sale
September,510000,1994,Good,Average,1860,0,0,3,2.5,R6P,3658,274.1935484,Quick_Sale
June,449950,1994,Good,Average,1530,0,0,3,2.5,R6P,3840,294.0849673,Quick_Sale
June,478000,1994,Good,Average,1640,0,0,3,2.25,R6P,3896,291.4634146,Quick_Sale
May,544000,1994,Good,Average,2030,0,0,4,2.5,R6P,3974,267.9802956,Quick_Sale
May,560200,2004,Good,Average,1990,0,0,3,2.5,R4,3984,281.5075377,Quick_Sale
January,463000,1994,Good,Good,1710,0,0,3,2.25,R6P,3999,270.7602339,Quick_Sale
May,535000,1994,Good,Average,1720,0,0,3,2.5,R6P,4006,311.0465116,Quick_Sale
March,432000,1985,Average,Average,1560,0,0,3,2.25,R6P,4050,276.9230769,Quick_Sale
July,435000,1996,Good,Average,1730,0,0,3,2.5,R18P,4065,251.4450867,Quick_Sale
May,540000,1994,Good,Average,1780,0,0,4,2.5,R6P,4169,303.3707865,Quick_Sale
March,500000,2004,Average,Average,1900,0,0,3,2.5,R6,4178,263.1578947,Quick_Sale
March,474777,1996,Good,Good,1500,0,0,3,2.5,R18P,4203,316.518,Quick_Sale
June,491500,1985,Average,Average,1470,0,0,3,2.25,R6P,4322,334.3537415,Quick_Sale
July,589000,2004,Good,Average,2250,0,0,3,2.5,R4,4337,261.7777778,Quick_Sale
June,500000,1994,Good,Average,1580,0,0,3,2.25,R6P,4379,316.4556962,Quick_Sale
September,515000,1987,Good,Average,1440,0,0,3,2.5,R6P,4394,357.6388889,Quick_Sale
